latitude,longitude,price,beds
37.12713,-80.49305,195000,2.0
37.119297,-80.67604,249000,2.0
37.303967,-80.05042,155000,3.0
37.280952,-80.04139,170000,2.0
37.259518,-79.92744,159000,4.0
37.251987,-79.910515,149950,2.0
37.228497,-79.93025,205000,5.0
37.276707,-80.058685,222500,2.0
37.230045,-80.538605,175000,2.0
37.137897,-80.40414,215000,3.0
37.28761,-79.91018,165000,3.0
37.120003,-80.42187,199900,2.0
37.23249,-80.01858,234950,2.0
37.286922,-80.01627,234950,3.0
37.320778,-79.92635,240000,3.0
37.253475,-80.193405,84950,2.0
37.444927,-80.0177,235000,3.0
37.21392,-79.90896,169990,2.0
37.274757,-79.92147,125000,3.0
37.289368,-80.06669,150000,2.0
37.2865,-80.04909,214950,2.0
37.05342,-80.43786,30000,3.0
37.266155,-79.9206,159950,3.0
37.284164,-80.002304,174900,3.0
37.26286,-79.935905,127000,2.0
37.299965,-80.00109,155000,2.0
37.274902,-80.06738,242950,4.0
37.285645,-79.99862,194950,3.0
37.330208,-79.99834,249950,3.0
37.294666,-80.009865,234950,3.0
37.313183,-79.99675,229950,3.0
37.319214,-79.95371,199950,2.0
37.305862,-79.949875,169950,2.0
37.249706,-79.906425,49900,3.0
37.30118,-80.06489,224950,3.0
37.273834,-79.964,175000,4.0
37.128098,-80.49963,169900,3.0
37.12297,-80.567696,249900,4.0
37.27986,-79.997505,185000,3.0
37.260963,-79.989265,189000,3.0
37.305046,-80.01397,249950,3.0
37.370384,-80.03473,105000,3.0
37.272038,-79.96532,229950,3.0
37.100094,-80.177704,99500,3.0
37.269695,-79.959236,249950,4.0
37.399628,-80.33033,159000,2.0
37.275852,-79.97329,229950,3.0
37.313725,-79.935196,239950,3.0
37.115437,-80.58994,139900,3.0
37.138184,-80.56087,149900,2.0
37.234234,-80.21254,185000,3.0
37.27156,-79.927635,89999,3.0
37.276993,-79.92294,64950,2.0
37.32673,-79.9452,214950,4.0
37.263176,-80.0394,219950,3.0
37.3141,-80.02181,239950,5.0
37.117134,-80.4333,184900,2.0
37.295998,-80.00099,134950,3.0
37.26892,-79.99133,199950,3.0
37.06631,-80.344086,184900,4.0
37.217335,-80.23058,209000,3.0
37.296288,-79.9738,65000,3.0
37.314453,-79.95955,149950,3.0
37.26856,-79.9327,66500,3.0
